freqVals,accVals,smoothed_accVals
13.0,589.6666666666666,590.3948853079288
14.0,608.0454545454545,601.0427113948853
15.0,618.6521739130435,612.6293685648758
16.0,634.8,622.1254865772981
17.0,641.4814814814815,629.582276700755
18.0,640.1071428571429,633.7228490913274
19.0,634.4074074074074,635.4117724867725
20.0,632.8888888888889,635.1241181657848
21.0,628.7857142857143,633.7622620568023
22.0,633.074074074074,632.9825001520404
23.0,633.3103448275862,632.85049635337
24.0,635.4285714285714,634.1282741311477
25.0,633.6153846153846,637.535783288657
26.0,640.5555555555555,638.5866560004491
27.0,649.2307692307693,639.9218366244228
28.0,639.3793103448276,640.7726302752164
29.0,641.3214285714286,645.0546815572678
30.0,640.5333333333333,646.3898667424529
31.0,659.3076923076923,646.2922654190452
32.0,648.5666666666667,647.7550886949072
33.0,648.6451612903226,650.7176462985939
34.0,648.15625,651.3210651020128
35.0,659.0967741935484,627.9697830507306
36.0,644.1538461538462,633.8753386062862
37.0,519.2,641.5253874821416
38.0,684.0,648.1155074316365
39.0,694.5454545454545,654.5236208236208
40.0,687.6969696969697,667.0813131313131
41.0,697.5454545454545,700.239156268568
42.0,719.5,706.5573380867498
43.0,718.1470588235294,712.9967320261438
44.0,721.9090909090909,721.9504628831004
45.0,733.1818181818181,728.6928871255246
46.0,741.4193548387096,730.5706649033024
47.0,738.0,738.3089756122014
48.0,730.7666666666667,748.225361695254
49.0,764.5769230769231,760.3489048187972
50.0,781.4074074074074,771.029012345679
51.0,805.9230769230769,780.7194885361552
52.0,805.5,795.1750440917108
53.0,796.1428571428571,803.2647876814543
54.0,817.5,816.252442002442
55.0,813.1153846153846,829.9452625152626
56.0,859.3333333333334,844.6258180708181
57.0,888.08,858.9994444444445
58.0,893.5833333333334,868.262264957265
59.0,882.3846153846154,878.5763675213675
60.0,873.0769230769231,885.7744351542177
61.0,875.0,887.1744351542178
62.0,902.5217391304348,885.5195206243033
63.0,896.48,888.2620847268673
64.0,883.6538461538462,891.8646488294315
65.0,898.84,896.7932202580027
66.0,894.6923076923077,905.1917709826406
67.0,904.5714285714286,914.8141519350215
68.0,952.9130434782609,930.2537886871582
69.0,954.2142857142857,943.7163527897224
70.0,976.2916666666666,956.8766091999788
71.0,979.6153846153846,976.1089573116373
72.0,973.6538461538462,897.213193655004
73.0,1019.9655172413793,902.1080349248451
74.0,479.53846153846155,911.2389109932213
75.0,983.5833333333334,911.0622728165831
76.0,1031.076923076923,920.6584266627369
77.0,978.5555555555555,923.483014368884
78.0,1031.2307692307693,1019.3419887278583
79.0,1036.9130434782608,1031.9796149904846
80.0,1054.6923076923076,1036.9734611443307
81.0,1059.409090909091,1051.793912029999
82.0,1061.04,1061.0380591871897
83.0,1067.4782608695652,1069.5125519408127
84.0,1086.695652173913,1072.3705006587616
85.0,1087.76,1086.4054934437543
86.0,1071.84,1092.629596007857
87.0,1143.6190476190477,1104.3898858629293
88.0,1098.3846153846155,1118.236065046065
89.0,1138.04,1134.4862099736013
90.0,1169.7727272727273,1164.3007554281467
91.0,1185.2608695652175,1176.0091750278707
92.0,1250.7272727272727,1198.9847550034506
93.0,1213.8695652173913,1225.2558661145617
94.0,1236.2380952380952,1237.8846539933495
95.0,1295.6666666666667,1253.468159859464
96.0,1245.5454545454545,1258.608852500157
97.0,1278.7619047619048,1268.7900119204467
98.0,1281.5714285714287,1286.9097496706192
99.0,1274.9565217391305,1307.951416337286
100.0,1344.9565217391305,1437.4938405797102
101.0,1421.9166666666667,1793.1238008971704
102.0,2022.8,1816.9650707384405
103.0,3412.5416666666665,1840.1473171152518
104.0,1424.6190476190477,1773.3812301587302
105.0,1414.05,1672.6798412698415
106.0,944.36,1470.0798412698412
107.0,817.7083333333334,1027.9028968253967
108.0,807.2,928.14
109.0,759.48,836.1983333333333
110.0,826.0416666666666,810.2216666666667
111.0,862.4,792.8862198067633
112.0,788.5,780.9195531400966
113.0,713.695652173913,774.3995531400966
114.0,735.4,764.281497584541
115.0,720.36,739.304574507618
116.0,765.3333333333334,733.0406856187292
