freqVals,accVals,smoothed_accVals
13.0,430.84615384615387,431.5639505422114
14.0,433.39130434782606,433.0889834802879
15.0,433.0,434.0192865105908
16.0,439.69565217391306,435.41915475828523
17.0,436.4,437.3336846728151
18.0,439.1818181818182,438.3551339481774
19.0,442.3333333333333,439.83513394817743
20.0,439.52,440.32816627816624
21.0,441.88,441.2972138972139
22.0,442.65384615384613,442.11306471306466
23.0,442.2142857142857,442.68417582417584
24.0,444.0769230769231,442.47750915750913
25.0,445.76,441.80615113281783
26.0,438.28,440.84384344051006
27.0,437.85185185185185,439.97479582146246
28.0,436.88,439.013257359924
29.0,437.0,437.3481291547958
30.0,438.3076923076923,437.15948717948714
31.0,435.7692307692308,437.59722201577273
32.0,437.14814814814815,436.7221602873777
33.0,440.4782608695652,436.21066603450413
34.0,431.6296296296296,435.4441062054443
35.0,433.9310344827586,436.2941619468043
36.0,433.7083333333333,436.6970068206637
37.0,440.8695652173913,436.07883513727467
38.0,439.5652173913044,437.57005071182357
39.0,436.7692307692308,438.8176560758082
40.0,440.5769230769231,440.2482116313638
41.0,441.4166666666667,440.923284095132
42.0,442.2916666666667,441.48908119658125
43.0,444.92,443.37369658119655
44.0,442.96,444.3929273504273
45.0,448.0769230769231,446.1301495726496
46.0,446.6923076923077,447.50129154795815
47.0,451.84,448.38962488129147
48.0,450.51851851851853,450.6296248812915
49.0,450.25,450.89680436847107
50.0,456.4,452.35834283000946
51.0,449.68,454.7322317188984
52.0,455.46153846153845,455.56556505223176
53.0,466.0833333333333,458.8705650522317
54.0,455.51851851851853,459.84389838556507
55.0,470.08,462.0824169040836
56.0,462.24,463.20302469135805
57.0,463.1111111111111,462.9792592592592
58.0,462.18518518518516,465.07232668566
59.0,464.74074074074076,464.09232668566
60.0,468.0769230769231,464.33010446343786
61.0,464.2,466.1577397910731
62.0,463.6666666666667,467.00341880341875
63.0,474.0769230769231,467.8552706552707
64.0,467.25925925925924,467.63257359924023
65.0,469.85185185185185,467.9389838556506
66.0,466.74074074074076,468.5192307692307
67.0,466.03846153846155,466.6597435897436
68.0,467.14814814814815,468.5005916842149
69.0,462.92,469.1852830422395
70.0,478.30434782608694,469.1018262521161
71.0,473.96,472.97362112391096
72.0,466.24,479.505947309746
73.0,489.2692307692308,480.7476757048077
74.0,506.3421052631579,479.17695106712654
75.0,470.3703703703704,479.9860868695957
76.0,468.88,482.3141424251512
77.0,478.81481481481484,479.7626039636127
78.0,480.2083333333333,476.3122530864198
79.0,473.96,478.3809594739667
80.0,485.64,481.1189081919154
81.0,482.7826086956522,480.55361854329243
82.0,485.3076923076923,479.69173582724306
83.0,475.4230769230769,479.0972120177193
84.0,475.037037037037,476.40125963676684
85.0,470.39285714285717,475.91749152082485
86.0,469.4642857142857,473.17390177723513
87.0,479.88,472.62261972595314
88.0,468.84615384615387,473.41947718947716
89.0,472.11538461538464,475.48443578160976
90.0,479.8181818181818,474.50961893179283
91.0,482.7826086956522,472.49756764974154
92.0,463.61538461538464,473.63431978649373
