freqVals,accVals,smoothed_accVals
13.0,687.7727272727273,547.4001670843776
14.0,841.5238095238095,701.7142696484801
15.0,1003.2272727272727,824.0454662296767
16.0,1123.8846153846155,894.7511192511192
17.0,975.6538461538462,922.0823313723313
18.0,736.4444444444445,917.1010903910905
19.0,851.76,918.6604338254338
20.0,811.6363636363636,914.6540235690236
21.0,1012.5833333333334,886.9117158767159
22.0,1099.8461538461538,985.3376418026418
23.0,809.2,1048.1095258606128
24.0,1327.0,1089.3854096989967
25.0,1228.391304347826,1246.8099266072093
26.0,1059.2916666666667,1380.2383454106282
27.0,1957.1304347826087,1789.110809178744
28.0,1900.4166666666667,2025.3716787439614
29.0,3262.4347826086955,2115.031461352657
30.0,2744.5652173913045,2091.2944444444443
31.0,1766.35,1992.2541867954913
32.0,916.8695652173913,1923.3831550494594
33.0,1362.888888888889,1641.606145826798
34.0,1487.1904761904761,1438.9980540393583
35.0,1571.7727272727273,1309.8100910763953
36.0,1528.9166666666667,1382.1010609760608
37.0,991.2222222222222,1377.4343943093943
38.0,1350.6153846153845,1351.5959816109814
39.0,1334.888888888889,1432.4415527065528
40.0,1332.16,1541.479251119251
41.0,2056.846153846154,1922.6893405189958
42.0,2183.1428571428573,2297.5784430830986
43.0,3278.4827586206898,2725.245109749765
44.0,3599.95,3203.010109749765
45.0,3900.8888888888887,3668.001028553184
46.0,4198.75,4244.303607918263
47.0,4846.791666666667,4618.034742351047
48.0,5640.958333333333,4980.139229530534
49.0,5520.869565217391,5436.46639002436
50.0,5772.576923076923,5960.966390024361
51.0,6638.851851851852,6347.340192706353
52.0,7345.75,6675.241076544738
53.0,7165.0344827586205,7062.596149008506
54.0,7608.363636363636,7463.637676321771
55.0,7845.0,7869.89693558103
56.0,8178.826086956522,7987.378602247697
57.0,9076.407407407407,8196.06035512126
58.0,8050.64,8320.936256997162
59.0,8417.125,8544.856546852236
60.0,8357.619047619048,8613.15825963221
61.0,9188.521739130434,8489.523691730974
62.0,8588.636363636364,8761.515509912793
63.0,8334.6,9203.511343246126
64.0,9682.59090909091,9624.541501976286
