freqVals,accVals,smoothed_accVals
13.0,210.28571428571428,213.16956975772766
14.0,218.1578947368421,214.06341896407687
15.0,211.08333333333334,214.93703007518795
16.0,214.79166666666666,216.55671261487052
17.0,221.54166666666666,220.55770467836257
18.0,223.48,224.09388888888887
19.0,234.29166666666666,227.98476190476188
20.0,239.375,231.30109332238644
21.0,234.42857142857142,233.4751833607006
22.0,234.68965517241378,235.29261925813648
23.0,234.58620689655172,235.15758839393894
24.0,234.3846153846154,234.4484217272723
25.0,233.4814814814815,233.78440056325113
26.0,235.12,233.0668939319514
27.0,230.44444444444446,231.73356059861806
28.0,230.3846153846154,230.4492199392774
29.0,226.58620689655172,228.8578619145861
30.0,226.67857142857142,226.59592643071508
31.0,223.93333333333334,225.75303515233995
32.0,221.5483870967742,224.93605902501898
33.0,225.38709677419354,224.29238086409944
34.0,225.48275862068965,222.8824106260042
35.0,222.72413793103448,223.04352173711536
36.0,218.21875,223.69405937152388
37.0,224.9,224.03758921950316
38.0,225.4516129032258,223.76268500494373
39.0,227.44827586206895,224.05004132678286
40.0,223.83333333333334,225.17487331603016
41.0,224.44827586206895,225.24511141126823
42.0,224.96774193548387,225.9031759273973
43.0,225.32142857142858,225.81836227361813
44.0,229.4,227.7211400513959
45.0,226.93939393939394,229.80753851882886
46.0,235.25,231.85314474797232
47.0,236.96666666666667,234.7941969753149
48.0,237.24137931034483,237.1413234120965
49.0,242.96774193548387,240.92920219997526
50.0,243.48275862068965,243.37086886664193
51.0,249.66666666666666,247.29596465208252
52.0,249.9,250.88476702508964
53.0,260.51724137931035,256.24014336917566
54.0,258.7741935483871,261.1059201582005
55.0,275.1,266.2812673804227
56.0,272.6774193548387,271.66352544493884
57.0,280.71875,276.7828741039427
58.0,282.19354838709677,283.70556598380915
59.0,291.23333333333335,287.18334376158697
60.0,300.3103448275862,290.5704405357805
61.0,295.96666666666664,292.572871091336
62.0,293.0,295.12394636015324
63.0,292.73333333333335,294.8551724137931
64.0,297.5,293.7046828437633
65.0,289.62068965517244,296.1608556832695
66.0,293.4074074074074,297.14803517044896
67.0,310.7037037037037,300.8055748529886
68.0,298.9230769230769,305.47918596409977
69.0,314.67857142857144,312.069071021571
70.0,325.5416666666667,318.0211697870031
71.0,329.16,318.61221916971914
72.0,329.12,289.95837301587306
73.0,314.25,292.8383333333333
74.0,127.0,295.7416452991453
75.0,331.9583333333333,297.708311965812
76.0,342.96153846153845,300.81497863247864
77.0,340.96,303.8427564102564
78.0,347.76,340.9827564102564
79.0,332.4166666666667,341.4366705516706
80.0,349.84,342.7909068950373
81.0,334.6818181818182,347.2596947738252
82.0,351.0869565217391,348.62578173034694
83.0,367.77272727272725,353.4186561264822
84.0,355.95652173913044,356.38976723759333
85.0,361.17391304347825,361.0877250768555
86.0,367.6666666666667,361.802398989899
87.0,362.8695652173913,359.4300213675213
88.0,355.375,356.83850231223414
89.0,353.53846153846155,356.89285013832114
90.0,340.4074074074074,358.4414612494323
91.0,361.5,359.5673670465337
92.0,376.9583333333333,365.6563821980488
93.0,369.625,373.1423961840628
94.0,391.90909090909093,384.5138888888889
95.0,398.45454545454544,391.2276570048309
96.0,408.6363636363636,396.5758712905452
97.0,401.7826086956522,404.2977915804003
98.0,409.04761904761904,408.2674885500972
99.0,415.95652173913044,414.02506430767295
100.0,415.72727272727275,416.77900370161245
101.0,433.0,422.95159922203396
102.0,425.16,427.79873517786564
103.0,438.8181818181818,441.3942168487949
104.0,438.1304347826087,448.076035030613
105.0,497.52941176470586,455.0093683639464
106.0,455.8181818181818,464.566035030613
107.0,474.6,472.17967139424945
108.0,482.5,478.95503371308996
109.0,484.5,489.86679841897234
110.0,478.7826086956522,507.5304347826088
111.0,563.0,516.9231884057971
112.0,561.8,522.3884661835749
113.0,530.9565217391304,523.6322933440687
114.0,515.2916666666666,532.0203770799785
115.0,491.962962962963,531.0828770799785
116.0,529.1111111111111,534.1092659688674
117.0,557.375,539.6658950617284
118.0,579.9583333333334,550.4106172839506
119.0,564.2962962962963,569.3982716049383
120.0,579.76,586.4749911816579
121.0,605.8888888888889,606.4819356261023
122.0,631.5714285714286,615.3867295329123
123.0,677.4166666666666,640.2411929707091
124.0,633.3870967741935,1662.453812018328
125.0,713.4230769230769,2440.367392265242
126.0,6713.035714285715,3262.9560622159806
127.0,5273.37037037037,3762.76995110487
128.0,5567.103448275862,3756.0212244495215
129.0,3676.3,3814.822506500804
130.0,592.8947368421053,2859.7295975981124
131.0,1066.2307692307693,2142.7832538184352
132.0,982.4782608695652,1357.0993457724578
133.0,971.6923076923077,883.9779172010294
134.0,853.0,909.3505335244466
135.0,837.5714285714286,859.032310081223
136.0,745.1304347826087,817.6897794234751
137.0,764.3214285714286,780.8124900461856
138.0,734.4230769230769,746.9374900461856
139.0,750.4285714285714,705.0771004357961
140.0,649.75,674.5646205646204
141.0,586.4090909090909,623.5690201505419
